Country,City,State,Postal Code,Sub-Category,Sales,Quantity,Discount,Profit,Order Year,Order Month,Order Day,Order Weekday,Ship Year,Ship Month,Ship Day,Ship Weekday,Processing Time,Ship Mode_First Class,Ship Mode_Same Day,Ship Mode_Second Class,Ship Mode_Standard Class,Segment_Consumer,Segment_Corporate,Segment_Home Office,Region_Central,Region_East,Region_South,Region_West,Category_Furniture
0,137,15,42420,0,261.96,2,0.0,41.9136,2016,11,8,1,2016,11,11,4,3,0,0,1,0,1,0,0,0,0,1,0,1
0,184,3,90032,2,48.86,7,0.0,14.1694,2014,6,9,0,2014,6,14,5,5,0,0,0,1,1,0,0,0,0,0,1,1
0,264,35,19140,1,71.372,2,0.3,-1.0196,2017,7,16,6,2017,7,18,1,2,0,0,1,0,1,0,0,0,1,0,0,1
0,264,35,19140,2,124.2,3,0.2,15.525,2015,9,17,3,2015,9,21,0,4,0,0,0,1,1,0,0,0,1,0,0,1
0,146,40,77041,0,532.3992,3,0.32,-46.9764,2015,12,27,6,2015,12,31,3,4,0,0,0,1,0,0,1,1,0,0,0,1
0,146,40,77041,1,212.058,3,0.3,-15.147,2015,12,27,6,2015,12,31,3,4,0,0,0,1,0,0,1,1,0,0,0,1
0,230,12,47150,2,6.16,2,0.0,2.9568,2015,4,18,5,2015,4,22,2,4,0,0,0,1,1,0,0,1,0,0,0,1
0,230,12,47150,1,89.99,1,0.0,17.0981,2015,4,18,5,2015,4,22,2,4,0,0,0,1,1,0,0,1,0,0,0,1
0,341,30,12180,1,319.41,5,0.1,7.098,2016,6,17,4,2016,6,18,5,1,1,0,0,0,1,0,0,0,1,0,0,1
0,184,3,90004,2,79.76,4,0.0,22.3328,2015,11,24,1,2015,11,30,0,6,0,0,0,1,1,0,0,0,0,0,1,1
0,54,11,60610,1,213.115,5,0.3,-15.2225,2015,4,30,3,2015,5,5,1,5,0,0,0,1,0,0,1,1,0,0,0,1
0,200,39,38109,2,97.04,2,0.2,1.213,2015,4,26,6,2015,5,2,5,6,0,0,0,1,1,0,0,0,0,1,0,1
